filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
white (75).jpg,Maybelline,Fit Me Matte,d69c74,5.14,Make Up For Ever,Ultra HD,d19578,5.14,NARS,Velvet Matte,dd9e6d,5.14
white (76).jpg,NARS,Velvet Matte,f6d0a1,3.27,NARS,Velvet Matte,fad8a7,3.27,Maybelline,Fit Me Matte,ebbf93,3.27
white (77).jpg,L'Oréal,Infalliable,deb09e,3.42,Maybelline,Fit Me,e1bba7,3.42,Maybelline,Fit Me Matte,e7b9a2,3.42
white (78).jpg,Maybelline,Fit Me,eabda6,2.42,L'Oréal,True Match,eebfa3,2.42,L'Oréal,True Match,eabea1,2.42
white (79).jpg,MAC,Studio Fix,ffdbc2,2.62,Make Up For Ever,Ultra HD,efd2b8,2.62,Maybelline,Fit Me Matte,fbd5bd,2.62
white (8).jpg,L'Oréal,Infalliable,d1a396,6.28,L'Oréal,Infalliable,deb09e,6.28,Maybelline,Fit Me,e1bba7,6.28
white (80).jpg,MAC,Studio Fix,e5d1be,7.18,L'Oréal,True Match,e8c7b8,7.18,L'Oréal,True Match,eecfba,7.18
white (81).jpg,L'Oréal,Infalliable,deb09e,2.35,L'Oréal,True Match,dcb29a,2.35,Make Up For Ever,Ultra HD,dcb59c,2.35
white (82).jpg,Make Up For Ever,Ultra HD,efd2b8,2.47,Maybelline,Fit Me,f3cfb3,2.47,Make Up For Ever,Ultra HD,ebcab0,2.47
white (83).jpg,L'Oréal,True Match,e8c7b8,5.59,L'Oréal,True Match,e9c4b1,5.59,Maybelline,Fit Me,e1bba7,5.59
white (84).jpg,L'Oréal,True Match,e8c7b8,1.76,L'Oréal,True Match,e9c4b1,1.76,L'Oréal,True Match,f0cbb9,1.76
white (85).jpg,L'Oréal,Infalliable,deb09e,1.89,Maybelline,Fit Me Matte,e7b9a2,1.89,L'Oréal,True Match,dcb29a,1.89
white (86).jpg,Maybelline,Fit Me,e1bba7,1.02,Make Up For Ever,Ultra HD,eac1ac,1.02,Maybelline,Fit Me Matte,e7b9a2,1.02
white (87).jpg,Make Up For Ever,Ultra HD,eac1ac,1.15,L'Oréal,True Match,f0c7b3,1.15,Maybelline,Fit Me,eabda6,1.15
white (88).jpg,Make Up For Ever,Ultra HD,e3b296,1.66,Make Up For Ever,Ultra HD,e3b391,1.66,Maybelline,Fit Me,e2b597,1.66
white (89).jpg,Make Up For Ever,Ultra HD,e4bd9c,1.15,MAC,Studio Fix,d8b593,1.15,MAC,Studio Fix,dabc96,1.15
white (9).jpg,L'Oréal,True Match,e9c4b1,3.96,Maybelline,Fit Me,e1bba7,3.96,L'Oréal,True Match,e8c7b8,3.96
white (90).jpg,MAC,Studio Fix,e0c8ae,2.51,MAC,Studio Fix,e5d1be,2.51,Make Up For Ever,Ultra HD,deccaf,2.51
white (91).jpg,MAC,Studio Fix,dcbca2,4.19,Maybelline,Fit Me,e1bba7,4.19,Make Up For Ever,Ultra HD,e1c2a8,4.19
white (92).jpg,MAC,Studio Fix,d8b593,1.93,Make Up For Ever,Ultra HD,e4bd9c,1.93,MAC,Studio Fix,dbbc9f,1.93
white (93).jpg,Make Up For Ever,Ultra HD,dcb59c,1.42,L'Oréal,True Match,dcb29a,1.42,Maybelline,Fit Me Matte,dcb297,1.42
white (94).jpg,L'Oréal,Infalliable,d1a396,3.43,L'Oréal,Infalliable,deb09e,3.43,Make Up For Ever,Ultra HD,dca795,3.43
white (95).jpg,L'Oréal,True Match,e8c7b8,3.17,MAC,Studio Fix,e5d1be,3.17,L'Oréal,True Match,eecfba,3.17
white (96).jpg,L'Oréal,Infalliable,d1a396,2.37,Make Up For Ever,Ultra HD,dca795,2.37,Maybelline,Fit Me,bd9584,2.37
white (97).jpg,Make Up For Ever,Ultra HD,dcb59c,2.35,MAC,Studio Fix,dcbca2,2.35,MAC,Studio Fix,dbbc9f,2.35
white (98).jpg,MAC,Studio Fix,e5d1be,4.56,L'Oréal,True Match,e8c7b8,4.56,L'Oréal,True Match,e7cbb5,4.56
white (99).jpg,Maybelline,Fit Me,eabda6,2.53,Make Up For Ever,Ultra HD,f7c3b3,2.53,Maybelline,Fit Me Matte,e7b9a2,2.53
